date,open,high,low,close,volume
2024-05-14,1705.9900,1713.2700,1700.0100,1701.9800,2127417
2024-05-15,1702.5800,1708.0000,1698.5900,1700.0000,1573876
2024-05-16,1705.0000,1709.8800,1690.0000,1704.5000,2967954
2024-05-17,1700.0100,1716.5800,1700.0000,1715.0000,2892388
2024-05-20,1717.9900,1732.9900,1708.1100,1709.0000,3142572
2024-05-21,1708.0000,1709.7300,1698.1600,1705.0000,1629339
2024-05-22,1703.0000,1709.9600,1691.0000,1697.7100,2028568
2024-05-23,1700.0000,1706.3800,1690.0800,1692.0100,1888497
2024-05-24,1693.0000,1695.0000,1677.0000,1677.0800,2021663
2024-05-27,1678.0000,1687.4500,1668.0100,1670.1200,2509791
2024-05-28,1670.4000,1675.1700,1663.0000,1664.6400,2352087
2024-05-29,1666.0000,1680.0000,1665.0000,1674.0000,1965128
2024-05-30,1675.0000,1675.3800,1649.0000,1649.0000,3220792
2024-05-31,1650.5000,1663.5000,1648.4500,1648.4500,2185665
2024-06-03,1650.0000,1650.9200,1635.1100,1639.3900,3026105
2024-06-04,1640.5000,1656.0000,1636.5500,1653.2000,2084108
2024-06-05,1652.0000,1658.6801,1643.0300,1644.0000,1905557
2024-06-06,1643.6600,1651.9900,1635.9100,1639.8101,2561005
2024-06-07,1646.1300,1646.1801,1619.0100,1619.1801,3352455
2024-06-11,1602.9900,1605.0000,1567.0000,1569.0000,7024676
2024-06-12,1570.0000,1590.0000,1570.0000,1571.6801,3317050
2024-06-13,1576.7700,1576.8900,1553.1500,1555.0100,3618597
2024-06-14,1555.0000,1563.9600,1520.4600,1555.0000,5951416
2024-06-17,1532.2900,1548.7700,1511.0100,1541.5000,4831816
2024-06-18,1530.8900,1554.5400,1516.6801,1521.5000,4125825
2024-06-19,1497.9900,1504.0000,1482.1000,1501.0000,4126153
2024-06-20,1500.0000,1516.0100,1498.0000,1500.1000,2471068
2024-06-21,1500.5000,1504.9800,1470.2200,1471.0000,4331997
2024-06-24,1423.0000,1488.9900,1414.0100,1476.5500,6383993
2024-06-25,1477.0000,1502.9900,1477.0000,1486.6500,4209795
2024-06-26,1480.0000,1501.0699,1477.8000,1489.2200,2956977
2024-06-27,1492.0000,1493.9700,1468.0000,1490.4900,3282178
2024-06-28,1480.0000,1494.4900,1464.0000,1467.3900,3858202
2024-07-01,1468.8800,1472.9900,1428.0000,1440.3800,3216138
2024-07-02,1433.0000,1498.0000,1433.0000,1490.7000,5185298
2024-07-03,1499.0000,1513.0100,1488.0200,1500.0000,3157326
2024-07-04,1505.0000,1512.0000,1481.1300,1485.7400,2437973
2024-07-05,1485.7400,1485.7400,1485.7400,1485.7400,0
2024-07-08,1443.0000,1457.7700,1419.1400,1420.0000,3952705
2024-07-09,1420.0000,1454.8900,1410.1000,1438.0300,3362071
2024-07-10,1439.2500,1465.8800,1435.0000,1437.5900,2376322
2024-07-11,1449.9700,1469.0000,1440.2100,1462.0900,2902014
2024-07-12,1473.0100,1486.4000,1465.4500,1478.8199,2338634
2024-07-15,1470.0000,1488.0000,1470.0000,1474.9000,1917626
2024-07-16,1476.0000,1482.0000,1465.0500,1476.0000,2031644
2024-07-17,1476.1000,1503.0000,1470.0200,1501.4000,3431101
2024-07-18,1499.5000,1515.0000,1492.5300,1497.5100,2887039
2024-07-19,1490.8101,1529.1801,1484.0100,1525.6200,3894291
2024-07-22,1525.0300,1529.9800,1491.6500,1499.0000,2854321
2024-07-23,1499.0000,1501.0000,1455.0000,1455.0000,3094396
2024-07-24,1450.2000,1463.7000,1435.0000,1440.0200,2412255
2024-07-25,1440.0200,1448.0000,1420.0100,1430.4900,2834656
2024-07-26,1430.4900,1437.7200,1410.9000,1422.1899,3235379
2024-07-29,1415.0000,1421.9900,1398.0000,1398.0200,3086907
2024-07-30,1385.9800,1390.2700,1361.3000,1379.9900,5177904
2024-07-31,1373.1000,1427.2700,1373.1000,1421.2800,4327232
2024-08-01,1418.0000,1420.0000,1384.7000,1386.1600,3203810
2024-08-02,1373.6000,1396.9700,1373.6000,1385.4500,2192769
2024-08-05,1388.8800,1426.0000,1385.5200,1410.0100,3773607
2024-08-06,1422.0000,1424.0000,1394.0100,1404.7000,2744433
2024-08-07,1405.5000,1421.9900,1398.3000,1415.5000,2062221
2024-08-08,1411.0000,1448.1801,1409.0000,1430.6899,2513082
2024-08-09,1460.0300,1469.0000,1436.8000,1436.8000,3013849
2024-08-12,1430.0000,1443.0000,1426.5800,1436.1000,1363203
2024-08-13,1433.0000,1435.0000,1412.0100,1423.0100,1630843
2024-08-14,1423.0100,1424.9000,1412.0200,1413.3000,1341431
2024-08-15,1405.0300,1435.9900,1403.9500,1426.8900,2303897
2024-08-16,1426.7900,1435.9200,1417.0100,1431.2000,1645470
2024-08-19,1432.0000,1458.8800,1425.0000,1425.4399,2043279
2024-08-20,1429.9000,1429.9301,1414.0000,1422.7200,1859138
2024-08-21,1420.0000,1427.9800,1415.6899,1417.5800,1509165
2024-08-22,1416.0000,1420.0000,1400.0100,1410.0500,1952729
2024-08-23,1408.0000,1423.5000,1406.1200,1414.9900,1532046
2024-08-26,1417.0000,1423.8600,1403.1500,1412.0000,1562841
2024-08-27,1412.0000,1413.0000,1401.1100,1404.0699,1365740
2024-08-28,1404.0699,1406.0000,1375.0000,1389.0000,3166351
2024-08-29,1380.0000,1418.0000,1380.0000,1413.3000,2747161
2024-08-30,1413.0000,1458.0699,1405.0000,1443.1899,3873923
2024-09-02,1430.0000,1438.0000,1395.0000,1395.0000,3413459
